trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
76,False,"{'a': 0.15, 'e': 0.3934908663478909}",25,0,-0.07898054606252525,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
77,False,"{'a': 0.15, 'e': 0.5264551260818264}",20,8,12.069709252900285,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.15, 'e': 0.6475963386538759}",20,0,-30.966313792348497,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
79,False,"{'a': 0.15, 'e': 0.7541939335946278}",25,0,-170.7245397030208,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
80,False,"{'a': 0.15, 'e': 0.8438539587324921}",30,14,-53.171211831231425,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 1}",1
81,False,"{'a': 0.15, 'e': 0.9145628431984176}",20,0,-159.98313253657375,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
82,False,"{'a': 0.15, 'e': 0.9647326178866094}",30,0,-323.89016824272375,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 6}",0
83,False,"{'a': 0.15, 'e': 0.9932365778171883}",25,12,-63.872975556585864,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
84,False,"{'a': 0.15, 'e': 0.9994345855010047}",20,0,-158.51572528094584,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
85,False,"{'a': 0.15, 'e': 0.9831874470475918}",30,20,-32.22554087298318,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",1
86,False,"{'a': 0.15, 'e': 0.9448600381598606}",25,0,-53.158687735314395,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
87,False,"{'a': 0.15, 'e': 0.8853131098124399}",20,0,-35.66380634535612,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",1
88,False,"{'a': 0.15, 'e': 0.8058839576404507}",20,13,0.30476208270917127,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.15, 'e': 0.7083563891625846}",25,4,4.676859137617166,"{0: 17, 1: 4, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.15, 'e': 0.594920663309892}",20,6,-13.4343288220939,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.15, 'e': 0.4681243019321098}",20,5,-56.61047938871657,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
92,False,"{'a': 0.15, 'e': 0.3308148779490486}",20,0,-59.149956223552365,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
93,False,"{'a': 0.15, 'e': 0.1860760650018108}",20,9,15.57125354738323,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.15, 'e': 0.03715838479082641}",25,15,18.821719926705637,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.15, 'e': 0.11259379263383548}",30,17,10.065148544668704,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.15, 'e': 0.2598173562137541}",20,10,-2.4085683470088983,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
97,False,"{'a': 0.15, 'e': 0.4012059821060989}",35,2,-46.515747237198035,"{0: 28, 1: 0, 2: 3, 3: 1, 4: 1}",1
98,False,"{'a': 0.15, 'e': 0.5335843865891177}",20,0,-38.67962860828959,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
99,False,"{'a': 0.15, 'e': 0.6539796360890286}",20,5,-54.31811477050326,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
100,False,"{'a': 0.15, 'e': 0.7596879128588213}",30,0,-105.51838234904305,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
101,False,"{'a': 0.15, 'e': 0.8483352368957681}",20,6,3.2222786742396545,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.15, 'e': 0.9179307804142925}",20,1,-60.94515018678587,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 1}",1
103,False,"{'a': 0.15, 'e': 0.9669115775460569}",20,4,-52.60052186991776,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 1}",1
104,False,"{'a': 0.15, 'e': 0.9941776251838151}",30,0,-321.3351297586125,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 7}",0
105,False,"{'a': 0.15, 'e': 0.999116586679734}",25,0,-136.69041414024898,"{0: 11, 1: 9, 2: 2, 3: 2, 4: 1}",0
106,False,"{'a': 0.15, 'e': 0.9816175436063848}",20,9,-32.30424906844781,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
107,False,"{'a': 0.15, 'e': 0.9420734867454952}",20,0,-71.26594653493811,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
